symbol-id;symbol-en;symbol-fi;category
131;bath_mat;kylpyhuoneen matto;Rakennukset tarvikkeet
132;bathe_,_to;kylpeä;Terveys hoitotoimet
133;battery_1;paristo;Tekniikka muut
134;battery_1a;paristo;Tekniikka muut
135;battery_2;paristo;Tekniikka muut
136;battery_2a;paristo;Tekniikka muut
137;beach;ranta;Matkustus
138;beach_bag;rantakassi;Vaatteet tarvikkeet
139;beach_towel;rantapyyhe;Matkustus
140;beads;helmet;Vapaa-aika lelut
141;beak;nokka;Eläimet ominaisuudet
142;beaker_1;dekantterilasi;Tiede
143;beaker_2;dekantterilasi;Tiede
144;beanbag;säkkituoli;Vapaa-aika lelut
145;beans_on_toast;papuvoileipä;Ruoka annokset
146;beansprouts;pavunversot;Ruoka vihannekset ja salaatit
147;bear;karhu;Eläimet nisäkkäät
148;bed_four_poster;pylvässänky;Rakennukset huonekalut
149;bed_time;nukkumaanmenoaika;Kuvaileva aika
150;bee_bumble;kimalainen;Eläimet hämähäkit ja hyönteiset
151;bee_honey;mehiläinen;Eläimet hämähäkit ja hyönteiset
152;beef;naudanliha;Ruoka liha
153;beehive;mehiläispesä;Eläimet elinympäristö
154;beer;olut;Juomat
155;bees_nest;mehiläispesä;Eläimet elinympäristö
156;beetle;koppakuoriainen;Eläimet hämähäkit ja hyönteiset
157;beetroot;punajuuri;Ruoka vihannekset ja salaatit
158;before;edessä;Kuvaileva sijainti
159;begin_start;aloittaa;Kuvaileva suunta
160;behind;takana;Kuvaileva sijainti
161;bell;kello;Rakennukset tarvikkeet
162;below;alla;Kuvaileva sijainti
163;belt;vyö;Vaatteet muut
164;bench;penkki;Rakennukset puutarha ja maatila
165;bendy;taivutettava;Tiede
166;bendy_1;taivuttaa;Tiede
167;berry;marja;Ruoka hedelmät
168;beside_next_to;vieressä;Kuvaileva sijainti
169;between;välissä;Kuvaileva sijainti
170;bib;ruokalappu;Vaatteet muut
171;bicycle;polkupyörä;Liikenne tieliikenne
172;big_mac_switch;kytkin;Apuvälineet
173;big_wheel;maailmanpyörä;Matkustus
174;bikini;bikinit;Vaatteet muut
175;bin_bag;roskapussi;Rakennukset tarvikkeet
176;bin_bags;roskapussit;Rakennukset tarvikkeet
177;bingo;bingo;Vapaa-aika pelit
178;bingo_marker;merkkauskynä;Vapaa-aika pelit
179;bird;lintu;Eläimet linnut
180;bird_bath;lintuallas;Eläimet elinympäristö
181;bird_cage;lintuhäkki;Eläimet elinympäristö
182;bird_feeder;lintulauta;Eläimet elinympäristö
183;bird_seed;linnunsiemen;Eläimet ruokinta
184;birthday_cake;syntymäpäiväkakku;Juhlat välineet
185;birthday_card;syntymäpäiväkortti;Juhlat välineet
186;biscuit_chocolate_chip;suklaakeksi;Ruoka viljatuotteet ja leivonta
187;biscuits;keksit;Ruoka viljatuotteet ja leivonta
188;black;musta;Taide värit
189;blackberry;karhunvatukka;Ruoka hedelmät
190;blackboard;liitutaulu;Rakennukset Laitteet
191;blackcurrant_juice;mustaherukkamehu;Juomat
192;blackcurrants;mustaherukka;Ruoka hedelmät
193;bladder;virtsarakko;Terveys kehonosat
194;bladder_kidneys;virtsatiet;Terveys kehonosat
195;blanket;huopa;Rakennukset tarvikkeet
196;blanket_chest;säilytyslaatikko;Rakennukset huonekalut
197;blender_drinks;tehosekoitin;Ruoka välineet
198;bless_,_to;siunata;Uskonto yleiset
199;blind;sokea;Ihmiset kuvaileva
200;blind_2;sokea;Ihmiset kuvaileva
201;blinds;sälekaihtimet;Rakennukset tarvikkeet
202;blood_pressure;verenpaine;Terveys terveydentila
203;blouse;pusero;Vaatteet muut
204;blue;sininen;Taide värit
205;blue_dark;tummansininen;Taide värit
206;blue_light;vaaleansininen;Taide värit
207;blusher;poskipuna;Terveys hoitotarvikkeet
208;boat;vene;Liikenne vesiliikenne
209;bobble_hat;tupsupipo;Vaatteet muut
210;boccia;boccia;Urheilu
211;boccia_chute;boccia-kouru;Urheilu urheiluvälineet
212;body_outline;keho;Terveys kehonosat
213;bolt;pultti;Työkalut työpaja
214;bone;luu;Eläimet ruokinta
215;bone_2;luu;Terveys kehonosat
216;bonfire;kokko;Rakennukset puutarha ja maatila
217;Bonfire_Night;juhannusyö;Juhlat tapahtumat
218;book_end;kirjanpidin;Rakennukset tarvikkeet
219;book_ends;kirjanpitimet;Rakennukset tarvikkeet
220;book_shelf;kirjahylly;Rakennukset huonekalut
221;bookcase;kirjahylly;Rakennukset huonekalut
222;bootees;tossut;Vaatteet muut
223;boots;saappaat;Vaatteet muut
224;both;molemmat;Kuvaileva määrä
225;bottom;alapuoli;Kuvaileva sijainti
226;bottom_2;alimmainen;Kuvaileva sijainti
227;bottom_3;peppu;Terveys kehonosat
228;bow;rusetti;Vaatteet tarvikkeet
229;bow_and_arrow;jousi ja nuoli;Urheilu urheiluvälineet
230;bow_tie;solmuke;Vaatteet tarvikkeet
231;bowl;kulho;Ruoka välineet
232;bowler_1;keilaaja;Urheilu
233;bowling;keilailu;Urheilu
234;bowling_ball;keilapallo;Urheilu urheiluvälineet
235;bowling_gutter;ränni;Urheilu urheiluvälineet
236;bowling_pins;keilat;Urheilu urheiluvälineet
237;bowling_spare;paikkoheitto;Urheilu urheiluvälineet
238;bowling_strike;kaato;Urheilu urheiluvälineet
239;boxer_shorts;bokserit;Vaatteet muut
240;Boxing_Day;tapaninpäivä;Uskonto juhlapäivä
241;bra;rintaliivit;Vaatteet muut
242;bracelet_1;käsirengas;Vaatteet korut
243;bracelet_2;käsirengas;Vaatteet korut
244;brain;aivot;Terveys kehonosat
245;branch;oksa;Kasvit ja puut
246;brazil_nut;parapähkinä;Ruoka pähkinät
247;bread;leipä;Ruoka viljatuotteet ja leivonta
248;bread_crumbs;leivänmurut;Ruoka viljatuotteet ja leivonta
249;bread_roll;sämpylä;Ruoka viljatuotteet ja leivonta
250;bread_roll_2;sämpylä;Ruoka viljatuotteet ja leivonta
251;bread_roll_3;sämpylä;Ruoka viljatuotteet ja leivonta
252;bread_roll_filled;täytetty sämpylä;Ruoka viljatuotteet ja leivonta
253;bread_roll_granary;kokojyväsämpylä;Ruoka viljatuotteet ja leivonta
254;bread_slice;leipäviipale;Ruoka viljatuotteet ja leivonta
255;bread_sliced;viipaloitu leipä;Ruoka viljatuotteet ja leivonta
256;breafkfast_continental_1;aamiainen;Ruoka annokset
257;breafkfast_continental_2;aamiainen;Ruoka annokset
258;breafkfast_fried;aamiainen;Ruoka annokset
259;break_,_to;rikkoa;Kuvaileva tila
260;break_2;katkaista;Kuvaileva tila
261;break_egg_,_to;rikkoa kananmuna;Ruoka ruuanlaitto
262;break_time_1;tauko;Työ ja koulu
263;break_time_2;välitunti;Työ ja koulu
264;breakfast_1;aamiainen;Ruoka annokset
265;breakfast_2;aamiainen;Ruoka annokset
266;breakfast_3;aamiainen;Ruoka annokset
267;breakfast_4;aamiainen;Ruoka annokset
